job_title_full,salary,company,user_id,has_applied,v1,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v2,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v3,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v4,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v5,v50,v51,v52,v53,v54,v55,v56,v6,v7,v8,v9
 Onboarding Manager - New Ventures,NA,f,U28,1,0.6,0.61,0.4,0.33,0.04,0.98,0.87,0.61,0.76,0,0.71,0.12,0.97,0.28,0.75,0.27,0.08,NaN,0.79,0.03,0.86,0.51,0.13,0.01,0.01,0.39,0.95,0.94,0.76,0.74,0.74,0.59,0.5,0.32,0.25,0.16,0.53,0.33,0.67,0.19,0.82,0.69,0.59,0.7,0.38,0.5,0.89,0.79,0.52,0.63,0.75,0.58,0.56,0.96,0.51,0.86
 Operations Manager - France,NA,c,U29,1,0.14,0.82,0.6,0.8,0.71,0.86,0.34,0.12,0.3,0.44,0.29,0.31,NaN,0.96,0.75,0.63,0.63,0.35,0.05,0.31,0.59,0.09,0.52,NaN,0.19,0.7,0.14,0.17,0.78,0.83,0.33,NaN,0.2,0.65,0.17,0.59,0.42,0.28,0.89,0.41,0.83,0.59,0.59,0.13,0.94,0.78,0.73,0.31,0.54,0.02,0.56,0.42,0.72,0.12,0.72,0.68
Lead Data Analyst - Pricing Team (m/f/d),NA,h,U30,1,0.4,0.12,0.44,0.51,0.48,0.02,0.59,0.36,0.17,0.31,0.56,0.57,0.57,0.68,0.22,0.69,0.47,0.93,0.13,0.51,0.09,0.69,0.22,NaN,0.18,0.55,0.04,0.47,0.65,0.86,0.56,0.47,0.08,0.58,0.83,0.4,0.6,0.63,0.89,0.16,0.68,0.09,0.88,0.21,0.98,0.5,0.88,0.97,0.97,0.07,0.95,0.24,0.11,0.45,0.89,0.45
Senior Operations Manager - APAC (M/F/D),61000,d,U31,1,0.23,0.7,0.94,0.99,0.73,0.15,0.31,0.13,0.05,0.69,0.38,0.35,0.65,0.19,0.56,0.34,0.85,NaN,0.84,0.95,0.76,0.02,0.5,NaN,0.28,NaN,0.23,0.98,0.18,0.31,0.6,0.23,0.73,0.22,0.22,0.54,0.52,0.2,0.4,0.38,0.45,0.77,NaN,NaN,0.32,0.73,0.35,0.74,0.41,0.01,0.8,0.7,0.24,0.41,0.78,0.21
Senior Performance Marketing Manager,NA,c,U32,0,0.36,0.01,0.92,0.48,0.06,0.5,0.09,0.99,0.58,0.27,0.89,0.18,0.03,0.4,0.48,0.11,0.72,NaN,0.35,0.73,0.28,0.76,0.77,NaN,0.53,0.74,0.74,0.36,0.71,0.82,0.27,0.13,0.23,0.29,0.15,0.68,0.1,0.08,0.7,0.73,0.76,0.86,0.4,0.84,0.42,0.11,0.4,0.84,0.5,0.72,0.28,0.07,NaN,0.05,0.71,0.82
 Brand Manager (m/f/d),NA,g,U33,0,0.05,0.36,0.2,0.94,0.23,0.52,0.74,0.8,0.59,0.79,0.61,0.28,0.96,0.16,0.22,0.82,0.32,NaN,0.38,0.76,0.31,0.38,0.06,NaN,0.96,0.89,0.92,0.23,0.91,0.74,0.59,0.17,0.7,0.35,0.45,0.39,0.3,0.32,0.87,0.12,0.66,0.74,0.42,0.88,0.48,0.47,0.75,0.07,0.99,0.71,0.53,0.41,0.23,0.22,0.37,0.73
 Onboarding Manager - New Ventures,67000,b,U34,1,0.73,0.4,0.03,0.59,0.8,0.38,0.94,0.15,1,0.56,0.36,0.49,0.46,0.85,0.95,0.85,0.99,0.7,0.79,0.03,0.75,0.05,0.86,NaN,0.73,0.06,0.34,0.18,0.16,0.19,0.53,0.84,0.65,0.26,0.25,0.83,0.84,0.36,0.17,0.16,0.51,0.37,0.69,0.16,0.42,NaN,0.05,0.12,0.45,0.08,NaN,0.65,NaN,0.57,0.07,0.8
Lead SEO Manager (M/F/D),67000,h,U35,1,NaN,0.18,0.55,0.1,0.37,0.2,0.67,0.62,0.38,0.85,0.39,0.39,0.11,0.16,0.2,0.78,0.52,NaN,0.53,0.73,0.12,0.2,0.68,NaN,0.44,0.69,0.26,0.44,0.11,0.16,0.5,NaN,0.29,0.9,0.78,0.82,0.73,0.77,0.87,0.37,0.19,0.11,0.69,0.97,0.37,0.84,0.09,0.39,0.5,0.82,0.89,0.13,0.09,0.6,0.87,0.45
Lead Data Science Manager - APAC,NA,g,U36,1,0.63,0.84,0.61,0.66,0.7,0.73,0.54,0.48,0.5,0.31,0.65,0.97,0.92,0.82,0.65,1,0.65,NaN,0.17,0.57,0.99,0.57,0.59,NaN,0.28,NaN,0.49,0.48,0.03,0.38,0.75,0.46,0.75,0.32,0.3,0.37,0.72,0.42,0.27,0.76,0.68,0.03,0.79,0.63,0.5,0.29,0.86,0.07,0.73,0.77,0.16,0.82,0.28,0.06,0.49,0.36
Lead Product Manager -  Mobile,NA,g,U37,0,0.33,0.43,0.09,0.95,0.04,0.3,0.78,0.79,0.85,0.89,0.1,0.38,0.34,0.01,0.71,0.6,0.59,NaN,0.22,0.33,0.98,0.71,0.65,NaN,0.32,0.63,0.6,0.94,0.88,0.77,0.82,0.78,0.45,0.61,0.6,0.38,0.7,NaN,0.65,0.34,0.64,0.83,0.53,0.75,0.8,0.79,0.33,0.11,0.14,0.15,0.43,0.77,0.64,0.11,0.28,0.59
 Online Marketing Manager,NA,g,U38,1,0.31,0.85,0.76,0.41,0.63,0.44,0.24,0.71,0.41,0.45,0.75,0.52,0.49,0.03,0.87,0.36,0.8,NaN,0.59,0.31,0.36,0.75,0.83,0.48,0.68,0.18,0.9,0.84,0.16,0.27,0.1,0.55,0.08,0.95,0.83,0.18,0.22,0.76,0.43,0.42,0.26,0.07,0.45,0.68,0.87,0.97,0.25,0.88,0.55,0.62,0.11,0.88,0.51,0.68,0.19,0.58
Junior Marketing Manager - New Ventures ,NA,d,U39,1,0.12,0.99,0.8,0.17,0.04,0.8,0.27,0.47,0.67,0.39,0.99,0.75,0.6,0.6,0.03,0.26,0.45,NaN,0.3,0.84,0.3,0.43,0.35,NaN,0.73,NaN,0.17,0.48,0.21,0.06,0.43,0.98,0.33,0.93,0.17,0.49,0.38,0.75,0.29,0.28,0.74,0.33,0.51,0.15,0.61,0.13,0.56,0.08,0.62,0.06,0.25,0.72,0.24,0.32,0.86,0.09
Lead UI Designer - (Remote),67000,d,U40,0,0.29,0.17,0.46,0.48,0.2,0.19,0.24,0.87,0.55,0.01,0.22,0.46,0.36,0.15,0.77,0.9,0.28,NaN,0.41,0.36,0.15,0.63,0.33,NaN,0.6,0.45,0.98,0.71,0.92,0.46,0.46,0.1,0.96,0.05,0.48,0.78,0.38,0.83,0.73,0.67,0.84,0.93,0.29,0.83,0.45,0.54,0.5,1,0.05,0.54,0.19,0.03,0.33,0.11,0.09,NaN
Lead Data Scientist - Pricing Team,NA,e,U41,1,0.05,0.08,NaN,0.28,0.19,0.67,0.32,0.56,0.21,0.82,0.23,0.09,0.13,0.01,0.65,0.72,0.48,0.43,0.87,0.76,0.64,0.89,0.75,0.32,0.87,0.05,0.87,0.39,0.14,0.46,0.85,0.29,0.75,0.73,0.72,0.51,0.95,0.64,0.83,0.69,0.39,0.4,0.23,0.94,0.67,0.76,0.47,0.63,0.86,0.29,0.43,0.69,NaN,0.84,0.04,0.92
Senior Backend Engineer (M/F/D),NA,e,U42,0,0.31,0.43,0.17,0.34,0.29,0.89,0.53,0.63,0.31,0.42,0.32,0.36,0.27,0.57,0.54,0,0.87,0.51,0.89,0.74,0.37,0.74,0.89,NaN,0.95,0.66,0.79,0.04,0.85,0.38,0.38,0.69,0.78,0.22,0.26,NaN,0.06,0.75,0.42,0.27,0.99,NaN,0.1,0.38,0.62,0.64,0.46,0.59,0.5,0.52,0.28,0.11,0.92,0.67,0.83,0.34
 Brand Marketing Manager - (Remote),NA,e,U43,0,0.68,0.43,0.13,0.34,0.95,0.38,0.11,0.99,0.81,0.12,0.27,0.6,0.53,0.45,0.05,0.76,0.28,NaN,0.29,0.74,0.58,0.46,0.69,NaN,0.23,0.9,0.66,0.17,0.1,0.08,0.42,0.27,0.66,0.87,0.89,0.74,0.64,0.97,0.03,0.62,0.66,0.51,0.56,0.29,0.07,0.43,0.7,0.08,0.15,0.61,0.88,0.81,0.92,0.15,0.36,0.79
 SEO Marketing Manager m/f/d,NA,h,U44,0,0.27,0.07,0.8,0.77,0.43,0.75,0.61,0.57,0.68,NaN,0.42,0.14,0.6,0.65,0.89,0.75,0.54,0.89,0.99,0.55,0.3,0.17,0.46,0.14,0.82,0.22,0.61,0.41,0.54,0.75,0.8,0.2,0.78,0.25,0.16,0.36,0.41,0.92,0.41,0.4,0.72,0.14,0.88,0.06,0.15,0.1,0.07,0.25,0.11,0.54,0.22,0.67,0.28,0.14,0.51,1
 Machine Learning Engineer - NLP M/F/D,62000,e,U45,1,0.12,0.8,0.32,0.2,0.99,0.13,NaN,0.19,0.04,0.31,0.75,0.41,0.62,0.18,0.96,0.61,0.94,0.9,0.48,0.23,0.44,0.14,0.5,0.66,0.41,0.54,0.6,0.09,0.91,0.96,0.87,0.9,0.61,0.71,0.78,0.82,0.61,0.61,0.91,0.14,0.6,0.73,0.38,0.06,0.95,0.57,0.94,0.47,0.95,0.94,0.23,NaN,0.83,0.12,NaN,0.64
 SEO Manager m/f/d,61000,d,U46,1,0.98,0.61,0.27,0.18,0.52,0.69,0.04,0.57,0.14,0.27,0.46,0.04,NaN,0.54,0.17,0.25,0.4,NaN,0.3,0.79,0.83,0.98,0.33,NaN,0.37,0.84,0.4,0.77,0.78,0.31,0.12,0.92,0.34,0.19,0.36,0.6,0.28,0.16,0.21,0.35,0.87,0.49,0.37,0.34,0.31,0.15,0.07,0.19,0.58,0.77,0.39,0.31,0.8,0.63,0.22,0.73
 Growth Marketing Manager - New Ventures ,67000,a,U47,0,0.58,0.17,0.98,0.28,0.57,0.53,0.73,0.26,0.43,0.55,0.12,0.97,0.68,0.3,0.28,0.97,NaN,NaN,0.83,0.63,0.53,0.77,0.62,NaN,0.19,0.87,0.22,0.45,0.05,0.96,0.16,0.29,0.18,0.35,0.6,0.24,0.84,0.37,0.89,0.34,0.69,0.13,0.61,0.95,0.72,0.11,0.12,0.39,0.61,0.71,0.75,0.85,0.98,0.66,0.08,0.76
Lead SEO Marketing Manager - New Ventures ,NA,d,U48,1,0.92,0.82,0.62,0.73,0.11,0.52,0.14,0.05,0.17,0.84,0.54,0.73,0.2,0.22,0.03,0.78,0.06,NaN,0.29,0.64,NaN,0.2,0.98,0.97,0.66,0.45,0.56,0.15,0.49,0.47,0.06,0.38,0.08,0.58,0.83,0.27,0.13,0.86,0.44,0.41,0.59,0.53,0.05,0.07,0.23,0.76,0.14,0.31,0.29,0.35,0.2,0.28,0.41,0.45,0.14,0.35
Senior Data Scientist - Supplier Financing M/F/D,NA,f,U49,0,0.16,0.71,0.35,0.08,0.07,0.18,0.08,0.19,NaN,0.73,0.69,0.06,0.08,0.52,0.87,0.99,0.34,0.09,0.79,0.44,0.81,0.61,0.18,NaN,0.03,0.56,0.18,0.83,0.55,0.9,0.02,0.31,0.87,0.61,0.18,0.47,0.51,0.8,0.45,0.6,1,0.95,0.08,0.99,0.25,0.17,0.03,0.07,0.43,0.8,0.86,0.98,0.15,0.3,0.16,0.65
 Offline Marketing Manager - (Remote),NA,a,U50,0,0.27,0.9,0.94,0.11,0.8,0.55,0.06,0.19,0.4,0.13,0.31,0.81,0.96,0.36,0.59,0.91,0.89,0.81,0.27,0.84,1,0.54,0.27,NaN,0.52,0.95,0.89,0.22,0.28,0.48,0.78,0.16,0.9,0.4,0.87,0.14,0.59,0.26,0.02,0.49,0.06,0.19,0.92,NaN,0.78,0.46,0.74,0.11,0.02,0.51,0.37,0.65,0.73,0.13,0.71,0.07
Junior Brand Manager - (Remote) m/f/d,59000,b,U51,1,0.27,0.42,0.69,0.41,0.71,0.28,0.34,0.14,0.06,0.81,0,0.1,0.11,0.18,0.83,0.16,0.7,0.27,0.63,0.52,0.77,0.41,0.09,NaN,0.83,0.57,0.94,0.88,0.3,0.36,0.41,0.26,0.94,0.19,0.19,0.65,0.62,0.53,0.6,0.64,0.14,0.02,0.86,0.3,0.89,0.42,0.31,0.04,0.81,0.32,1,0.43,0.76,0.58,0.29,0.57
 Data Scientist - Supplier Financing,NA,e,U52,0,0.99,0.9,0.81,0.49,0.35,0.51,0.69,0.68,0.15,0.95,0.77,0.38,0.47,0.15,0.39,0.09,0.7,NaN,0.18,0.17,0.31,0.63,NaN,NaN,0.66,0.8,0.19,0.83,0.02,0.33,0.82,0.4,0.95,0.85,0.05,0.88,0.02,0.56,0.63,0.86,0.08,0.4,0.53,0.27,0.35,0.34,0.29,0.53,0.31,0.01,0.56,0.28,0.86,0.99,0.96,0.12
 Software Developer - (Remote) (M/F/D),NA,f,U53,1,0.58,0.29,0.55,0.32,0.06,0.09,0.51,0.77,0.47,0.7,0.75,0.43,0.32,0.58,0.04,0.66,0.32,NaN,0.12,0.54,0.95,0.96,0.76,NaN,0.9,0.66,0.98,0.19,0.46,0.81,0.08,0.12,NaN,NaN,0.65,0.42,0.46,0.2,0.04,0.55,0.11,0.34,0.88,0.13,0.43,0.87,0.87,0.68,0.08,0.71,0.01,0.03,0.01,0.55,0.06,0.88
 SEO Marketeer - New Ventures ,NA,c,U54,1,0.26,0.4,0.42,0.84,1,0.26,0.73,0.23,0.36,0.04,0.54,NaN,0.43,0.36,0.17,0.37,0.73,NaN,0.2,0.65,0.68,0.15,0.89,0.02,0.7,0.87,0.6,0.35,0.5,0.89,0.5,NaN,0.38,0.26,0.69,0.32,0.07,0.6,0.63,0.19,0.85,NaN,0.74,0.06,0.73,0.18,0.13,NaN,0.44,0.56,0.33,0.73,0.01,0.11,0.18,0.75
