,job_title_full,salary,company,user_id,has_applied,v1,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v2,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v3,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v4,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v5,v50,v51,v52,v53,v54,v55,v56,v6,v7,v8,v9,job_title_full_cat
14,Lead Data Consultant - Supplier Financing m/f/d,69000.0,d,U15,0.0,0.44,0.47,0.98,0.45,0.99,0.05,0.76,0.24,0.39,0.05,0.72,0.08,0.95,0.45,0.84,0.13,0.4266666666666666,0.15,0.6,0.23,0.46,0.57,0.04,,0.13,0.71,0.59,0.76,0.55,0.71,0.28,0.31,0.4,0.39,0.62,0.79,0.98,0.48,0.29,0.69,0.64,0.45,0.96,0.15,0.63,0.69,0.58,0.77,0.7,0.82,0.51,0.61,0.57,0.4,0.45,0.89,87.0
15, Brand Marketing Manager - (Remote),0.0,f,U16,0.0,0.95,0.84,0.91,0.58,0.44,0.04,0.25,0.84,0.54,0.46,0.4,0.63,0.96,0.41,0.22,0.75,0.33,0.49,0.62,0.26,0.06,0.78,0.96,0.71,0.26,0.82,0.62,0.27,0.56,0.01,0.05,0.53,0.91,0.46,0.15,0.36,0.89,0.06,0.95,0.68,0.25,0.85,0.57,0.05,0.45,0.01,0.33,0.7,0.06,0.36,0.98,0.2,0.96,0.18,0.5,0.89,5.0
16, SEO Marketing Manager m/f/d,0.0,e,U17,0.0,0.75,0.14,0.71,0.63,0.03,0.8,0.54,0.94,0.19,0.83,0.54,0.03,0.52,0.01,0.02,0.48,0.35,0.75,0.92,0.97,0.59,0.02,0.16,0.31333333333333335,0.26,0.46,0.57,0.9,0.34,0.51,0.42,0.36,0.77,0.41,0.58,0.88,0.01,0.53,0.07,0.97,0.98,0.28,0.81,0.76,0.62,0.82,0.05,0.81,0.4,0.97,0.64,0.98,0.51,0.44,0.08,0.29,33.0
17,Senior Marketing Manager - New Ventures ,55000.0,g,U18,1.0,0.6,0.21,0.46,0.3,0.47,0.81,0.4,0.68,0.26,0.52,0.09,0.09,0.24,0.16,0.3016666666666667,0.88,0.22,0.96,0.52,0.53,0.81,0.33,0.96,0.43,0.55,0.79,0.98,0.78,0.93,0.6,0.16,0.11,0.5433333333333333,0.5,0.55,0.35,0.33,0.57,0.44,0.16,0.6,0.99,0.43,0.64,0.3,0.26,0.1,0.7,0.21,0.07,0.5,0.98,0.27,0.45,0.2,0.12,136.0
18,Senior Growth Marketing Manager - (Remote),0.0,e,U19,0.0,0.5,0.23,0.48,0.49,0.86,0.78,0.34,0.9,0.62,0.35,0.54,0.32,0.93,0.72,0.6,0.03,0.0,,0.97,0.89,0.82,0.5,0.83,0.65,0.49,0.08,0.58,0.03,0.97,0.73,0.55,0.51,0.64,0.71,0.92,0.09,0.9,0.76,0.03,0.51,0.23,0.83,0.16,0.22,0.94,0.05,0.95,0.49,0.29,0.54,0.14,0.06,0.69,0.8,0.2,0.41,131.0
19,Junior Operations Manager - New Ventures,0.0,g,U20,1.0,0.33,0.65,0.04,0.31,0.91,0.31,0.2,0.17,0.26,0.99,0.19,0.08,0.38,0.71,0.14,0.1,0.05,0.56,0.79,0.38,0.93,0.73,0.23,0.44,0.67,0.6925,0.54,0.05,0.61,0.99,0.62,0.92,0.06,0.28,0.84,0.6,0.92,0.09,0.96,0.57,0.65,0.6,0.82,0.03,0.51,0.99,0.94,0.23,0.78,0.38,0.21,0.36,0.23,0.75,0.01,0.06,62.0
20,Junior UI Designer - (Remote),0.0,d,U21,1.0,0.88,0.5069999999999999,0.23,0.31,0.8,0.1,0.68,0.02,0.44,0.94,0.44799999999999995,0.09,0.91,0.26,0.46,0.28,0.83,0.665,0.44499999999999995,0.29,0.26,0.396,0.76,0.03,0.23,0.37,0.6,0.24,0.16,0.07,0.28,0.03,0.79,0.46,0.71,0.01,0.49,0.37,0.49,0.62,0.44,0.5,0.11,0.45,0.72,0.66,0.62,0.89,0.21,0.05,0.31,0.4,0.21,0.49,0.06,0.48,77.0
21,Senior AI Researcher - NLP m/f/d,64000.0,d,U22,1.0,0.97,0.36,0.24,0.84,0.06,0.38,0.47,0.87,0.95,0.39,0.49,0.18,0.91,0.61,0.11,0.8,0.77,0.5466666666666666,0.67,0.17,0.94,0.24,0.99,0.7000000000000001,0.86,0.77,0.97,0.34,0.14,0.33,0.47,0.06,0.71,0.0,0.5,0.31,0.73,0.41,0.86,0.02,0.48,0.58,0.66,0.1,0.12,0.85,0.14,0.31,0.32,0.55,0.83,0.69,0.77,0.58,0.91,0.09,117.0
22,Junior Marketing Manager - New Ventures ,55000.0,g,U23,1.0,0.91,0.35,0.53,0.71,0.38,0.53,0.55,0.43,0.28,0.29,0.01,0.53,0.85,0.61,0.23,0.23,0.83,0.82,0.61,0.6,0.03,0.4,0.34,0.07,0.63,0.78,0.49,0.32,0.38,0.12,0.88,0.42,0.12,0.58,0.75,0.01,0.26,0.96,0.12,0.71,0.35,0.31375,0.9,0.94,1.0,0.79,0.21,0.56,0.97,0.29,0.7,0.4,0.12,0.54,0.99,0.27,58.0
23,Junior Machine Learning Engineer - Supplier Financing,0.0,b,U24,1.0,0.52,0.03,0.24,0.78,0.49,0.83,0.39,0.21,0.14,0.01,1.0,0.25,0.51,0.03,0.33,0.04,0.18,0.11,0.4,0.74,0.42,0.52,0.24,,0.09,0.16,0.01,0.81,0.48,0.92,0.15,0.87,0.69,0.32,0.22,0.47,0.35500000000000004,0.1,0.7,0.39,0.76,0.93,0.44,0.14,0.58,0.74,0.41,0.18,0.66,0.2,0.6,0.29,0.98,0.6,0.42,0.61,54.0
24,Lead UI Designer - (Remote),0.0,a,U25,1.0,0.35,0.96,0.29,0.29,0.19,0.55,0.76,0.59,0.64,0.56,0.19,0.37,0.91,0.5,0.33,0.64,0.91,0.36999999999999994,0.9,0.57,0.48,0.4177777777777778,0.14,0.4800000000000001,0.63,0.48,0.63,0.87,0.09,0.13,0.9,0.27,0.84,0.85,0.01,0.42,0.69,0.19,0.63,0.65,0.51,0.41,0.57,0.78,0.04,0.98,0.85,0.64,0.38,0.41,0.45,0.02,0.1,0.84,0.53,0.19,116.0
25,Lead Software Developer - Deep Learning,0.0,b,U26,1.0,0.63,0.81,0.96,0.05,0.57,0.19,0.06,0.6,0.76,0.14,0.44,0.6,0.55,0.09,0.72,0.51,0.42,0.07,0.34,0.43,0.81,0.42,0.55,0.74,0.07,0.7,0.52,0.57,0.36,0.62,0.59,0.37,0.33,0.28,0.2,0.02,0.89,0.52,0.58,0.12,0.6,0.31,0.06,0.02,0.43,0.43,0.1,0.59,0.67,0.84,0.85,0.99,0.77,0.54,0.03,0.11,113.0
26,Senior Data Scientist - Supplier Financing M/F/D,0.0,b,U27,1.0,0.17,0.97,0.42,0.54,0.07,0.34,0.37,0.62,0.7,0.8,0.17,0.89,0.32,0.5,0.38,0.98,0.55,0.56,0.1,0.77,0.85,0.48,0.57,0.78,0.45,0.88,0.51,0.74,0.27,0.2,0.49,0.42,0.36,0.53,0.4075,0.5,0.16,0.03,0.79,0.74,0.54,0.87,0.49,0.8,0.75,0.82,0.28,0.6,0.49,0.54,0.06,0.39,0.1,0.42,0.08,0.94,128.0
27, Onboarding Manager - New Ventures,0.0,f,U28,1.0,0.6,0.61,0.4,0.33,0.04,0.98,0.87,0.61,0.76,0.0,0.71,0.12,0.97,0.28,0.75,0.27,0.08,0.555,0.79,0.03,0.86,0.51,0.13,0.01,0.01,0.39,0.95,0.94,0.76,0.74,0.74,0.59,0.5,0.32,0.25,0.16,0.53,0.33,0.67,0.19,0.82,0.69,0.59,0.7,0.38,0.5,0.89,0.79,0.52,0.63,0.75,0.58,0.56,0.96,0.51,0.86,21.0
28, Operations Manager - France,0.0,c,U29,1.0,0.14,0.82,0.6,0.8,0.71,0.86,0.34,0.12,0.3,0.44,0.29,0.31,0.2857142857142857,0.96,0.75,0.63,0.63,0.35,0.05,0.31,0.59,0.09,0.52,0.32,0.19,0.7,0.14,0.17,0.78,0.83,0.33,0.5485714285714286,0.2,0.65,0.17,0.59,0.42,0.28,0.89,0.41,0.83,0.59,0.59,0.13,0.94,0.78,0.73,0.31,0.54,0.02,0.56,0.42,0.72,0.12,0.72,0.68,23.0
29,Lead Data Analyst - Pricing Team (m/f/d),0.0,h,U30,1.0,0.4,0.12,0.44,0.51,0.48,0.02,0.59,0.36,0.17,0.31,0.56,0.57,0.57,0.68,0.22,0.69,0.47,0.93,0.13,0.51,0.09,0.69,0.22,0.325,0.18,0.55,0.04,0.47,0.65,0.86,0.56,0.47,0.08,0.58,0.83,0.4,0.6,0.63,0.89,0.16,0.68,0.09,0.88,0.21,0.98,0.5,0.88,0.97,0.97,0.07,0.95,0.24,0.11,0.45,0.89,0.45,86.0
30,Senior Operations Manager - APAC (M/F/D),61000.0,d,U31,1.0,0.23,0.7,0.94,0.99,0.73,0.15,0.31,0.13,0.05,0.69,0.38,0.35,0.65,0.19,0.56,0.34,0.85,,0.84,0.95,0.76,0.02,0.5,,0.28,0.195,0.23,0.98,0.18,0.31,0.6,0.23,0.73,0.22,0.22,0.54,0.52,0.2,0.4,0.38,0.45,0.77,0.55,0.5549999999999999,0.32,0.73,0.35,0.74,0.41,0.01,0.8,0.7,0.24,0.41,0.78,0.21,140.0
31,Senior Performance Marketing Manager,0.0,c,U32,0.0,0.36,0.01,0.92,0.48,0.06,0.5,0.09,0.99,0.58,0.27,0.89,0.18,0.03,0.4,0.48,0.11,0.72,0.52,0.35,0.73,0.28,0.76,0.77,,0.53,0.74,0.74,0.36,0.71,0.82,0.27,0.13,0.23,0.29,0.15,0.68,0.1,0.08,0.7,0.73,0.76,0.86,0.4,0.84,0.42,0.11,0.4,0.84,0.5,0.72,0.28,0.07,0.25200000000000006,0.05,0.71,0.82,141.0
32, Brand Manager (m/f/d),0.0,g,U33,0.0,0.05,0.36,0.2,0.94,0.23,0.52,0.74,0.8,0.59,0.79,0.61,0.28,0.96,0.16,0.22,0.82,0.32,,0.38,0.76,0.31,0.38,0.06,,0.96,0.89,0.92,0.23,0.91,0.74,0.59,0.17,0.7,0.35,0.45,0.39,0.3,0.32,0.87,0.12,0.66,0.74,0.42,0.88,0.48,0.47,0.75,0.07,0.99,0.71,0.53,0.41,0.23,0.22,0.37,0.73,4.0
33, Onboarding Manager - New Ventures,67000.0,b,U34,1.0,0.73,0.4,0.03,0.59,0.8,0.38,0.94,0.15,1.0,0.56,0.36,0.49,0.46,0.85,0.95,0.85,0.99,0.7,0.79,0.03,0.75,0.05,0.86,0.5125,0.73,0.06,0.34,0.18,0.16,0.19,0.53,0.84,0.65,0.26,0.25,0.83,0.84,0.36,0.17,0.16,0.51,0.37,0.69,0.16,0.42,0.5684615384615385,0.05,0.12,0.45,0.08,0.7023076923076922,0.65,0.5607692307692308,0.57,0.07,0.8,21.0
34,Lead SEO Manager (M/F/D),67000.0,h,U35,1.0,0.536,0.18,0.55,0.1,0.37,0.2,0.67,0.62,0.38,0.85,0.39,0.39,0.11,0.16,0.2,0.78,0.52,0.65,0.53,0.73,0.12,0.2,0.68,0.33,0.44,0.69,0.26,0.44,0.11,0.16,0.5,0.44399999999999995,0.29,0.9,0.78,0.82,0.73,0.77,0.87,0.37,0.19,0.11,0.69,0.97,0.37,0.84,0.09,0.39,0.5,0.82,0.89,0.13,0.09,0.6,0.87,0.45,109.0
35,Lead Data Science Manager - APAC,0.0,g,U36,1.0,0.63,0.84,0.61,0.66,0.7,0.73,0.54,0.48,0.5,0.31,0.65,0.97,0.92,0.82,0.65,1.0,0.65,0.7366666666666667,0.17,0.57,0.99,0.57,0.59,0.375,0.28,0.6519999999999999,0.49,0.48,0.03,0.38,0.75,0.46,0.75,0.32,0.3,0.37,0.72,0.42,0.27,0.76,0.68,0.03,0.79,0.63,0.5,0.29,0.86,0.07,0.73,0.77,0.16,0.82,0.28,0.06,0.49,0.36,88.0
36,Lead Product Manager -  Mobile,0.0,g,U37,0.0,0.33,0.43,0.09,0.95,0.04,0.3,0.78,0.79,0.85,0.89,0.1,0.38,0.34,0.01,0.71,0.6,0.59,,0.22,0.33,0.98,0.71,0.65,,0.32,0.63,0.6,0.94,0.88,0.77,0.82,0.78,0.45,0.61,0.6,0.38,0.7,0.55,0.65,0.34,0.64,0.83,0.53,0.75,0.8,0.79,0.33,0.11,0.14,0.15,0.43,0.77,0.64,0.11,0.28,0.59,106.0
37, Online Marketing Manager,0.0,g,U38,1.0,0.31,0.85,0.76,0.41,0.63,0.44,0.24,0.71,0.41,0.45,0.75,0.52,0.49,0.03,0.87,0.36,0.8,0.5766666666666667,0.59,0.31,0.36,0.75,0.83,0.48,0.68,0.18,0.9,0.84,0.16,0.27,0.1,0.55,0.08,0.95,0.83,0.18,0.22,0.76,0.43,0.42,0.26,0.07,0.45,0.68,0.87,0.97,0.25,0.88,0.55,0.62,0.11,0.88,0.51,0.68,0.19,0.58,22.0
38,Junior Marketing Manager - New Ventures ,0.0,d,U39,1.0,0.12,0.99,0.8,0.17,0.04,0.8,0.27,0.47,0.67,0.39,0.99,0.75,0.6,0.6,0.03,0.26,0.45,0.6066666666666666,0.3,0.84,0.3,0.43,0.35,0.2725,0.73,0.6555555555555556,0.17,0.48,0.21,0.06,0.43,0.98,0.33,0.93,0.17,0.49,0.38,0.75,0.29,0.28,0.74,0.33,0.51,0.15,0.61,0.13,0.56,0.08,0.62,0.06,0.25,0.72,0.24,0.32,0.86,0.09,58.0
39,Lead UI Designer - (Remote),67000.0,d,U40,0.0,0.29,0.17,0.46,0.48,0.2,0.19,0.24,0.87,0.55,0.01,0.22,0.46,0.36,0.15,0.77,0.9,0.28,0.72,0.41,0.36,0.15,0.63,0.33,0.5099999999999999,0.6,0.45,0.98,0.71,0.92,0.46,0.46,0.1,0.96,0.05,0.48,0.78,0.38,0.83,0.73,0.67,0.84,0.93,0.29,0.83,0.45,0.54,0.5,1.0,0.05,0.54,0.19,0.03,0.33,0.11,0.09,0.635,116.0
40,Lead Data Scientist - Pricing Team,0.0,e,U41,1.0,0.05,0.08,0.53,0.28,0.19,0.67,0.32,0.56,0.21,0.82,0.23,0.09,0.13,0.01,0.65,0.72,0.48,0.43,0.87,0.76,0.64,0.89,0.75,0.32,0.87,0.05,0.87,0.39,0.14,0.46,0.85,0.29,0.75,0.73,0.72,0.51,0.95,0.64,0.83,0.69,0.39,0.4,0.23,0.94,0.67,0.76,0.47,0.63,0.86,0.29,0.43,0.69,0.35,0.84,0.04,0.92,89.0
41,Senior Backend Engineer (M/F/D),0.0,e,U42,0.0,0.31,0.43,0.17,0.34,0.29,0.89,0.53,0.63,0.31,0.42,0.32,0.36,0.27,0.57,0.54,0.0,0.87,0.51,0.89,0.74,0.37,0.74,0.89,,0.95,0.66,0.79,0.04,0.85,0.38,0.38,0.69,0.78,0.22,0.26,0.94,0.06,0.75,0.42,0.27,0.99,0.97,0.1,0.38,0.62,0.64,0.46,0.59,0.5,0.52,0.28,0.11,0.92,0.67,0.83,0.34,119.0
42, Brand Marketing Manager - (Remote),0.0,e,U43,0.0,0.68,0.43,0.13,0.34,0.95,0.38,0.11,0.99,0.81,0.12,0.27,0.6,0.53,0.45,0.05,0.76,0.28,0.49,0.29,0.74,0.58,0.46,0.69,0.655,0.23,0.9,0.66,0.17,0.1,0.08,0.42,0.27,0.66,0.87,0.89,0.74,0.64,0.97,0.03,0.62,0.66,0.51,0.56,0.29,0.07,0.43,0.7,0.08,0.15,0.61,0.88,0.81,0.92,0.15,0.36,0.79,5.0
43, SEO Marketing Manager m/f/d,0.0,h,U44,0.0,0.27,0.07,0.8,0.77,0.43,0.75,0.61,0.57,0.68,0.6366666666666666,0.42,0.14,0.6,0.65,0.89,0.75,0.54,0.89,0.99,0.55,0.3,0.17,0.46,0.14,0.82,0.22,0.61,0.41,0.54,0.75,0.8,0.2,0.78,0.25,0.16,0.36,0.41,0.92,0.41,0.4,0.72,0.14,0.88,0.06,0.15,0.1,0.07,0.25,0.11,0.54,0.22,0.67,0.28,0.14,0.51,1.0,33.0
44, Machine Learning Engineer - NLP M/F/D,62000.0,e,U45,1.0,0.12,0.8,0.32,0.2,0.99,0.13,0.38666666666666666,0.19,0.04,0.31,0.75,0.41,0.62,0.18,0.96,0.61,0.94,0.9,0.48,0.23,0.44,0.14,0.5,0.66,0.41,0.54,0.6,0.09,0.91,0.96,0.87,0.9,0.61,0.71,0.78,0.82,0.61,0.61,0.91,0.14,0.6,0.73,0.38,0.06,0.95,0.57,0.94,0.47,0.95,0.94,0.23,0.5283333333333334,0.83,0.12,0.314,0.64,15.0
45, SEO Manager m/f/d,61000.0,d,U46,1.0,0.98,0.61,0.27,0.18,0.52,0.69,0.04,0.57,0.14,0.27,0.46,0.04,0.8,0.54,0.17,0.25,0.4,,0.3,0.79,0.83,0.98,0.33,,0.37,0.84,0.4,0.77,0.78,0.31,0.12,0.92,0.34,0.19,0.36,0.6,0.28,0.16,0.21,0.35,0.87,0.49,0.37,0.34,0.31,0.15,0.07,0.19,0.58,0.77,0.39,0.31,0.8,0.63,0.22,0.73,31.0
46, Growth Marketing Manager - New Ventures ,67000.0,a,U47,0.0,0.58,0.17,0.98,0.28,0.57,0.53,0.73,0.26,0.43,0.55,0.12,0.97,0.68,0.3,0.28,0.97,0.22999999999999998,0.39666666666666667,0.83,0.63,0.53,0.77,0.62,0.48,0.19,0.87,0.22,0.45,0.05,0.96,0.16,0.29,0.18,0.35,0.6,0.24,0.84,0.37,0.89,0.34,0.69,0.13,0.61,0.95,0.72,0.11,0.12,0.39,0.61,0.71,0.75,0.85,0.98,0.66,0.08,0.76,14.0
47,Lead SEO Marketing Manager - New Ventures ,0.0,d,U48,1.0,0.92,0.82,0.62,0.73,0.11,0.52,0.14,0.05,0.17,0.84,0.54,0.73,0.2,0.22,0.03,0.78,0.06,0.62,0.29,0.64,0.3525,0.2,0.98,0.97,0.66,0.45,0.56,0.15,0.49,0.47,0.06,0.38,0.08,0.58,0.83,0.27,0.13,0.86,0.44,0.41,0.59,0.53,0.05,0.07,0.23,0.76,0.14,0.31,0.29,0.35,0.2,0.28,0.41,0.45,0.14,0.35,111.0
48,Senior Data Scientist - Supplier Financing M/F/D,0.0,f,U49,0.0,0.16,0.71,0.35,0.08,0.07,0.18,0.08,0.19,0.3742857142857143,0.73,0.69,0.06,0.08,0.52,0.87,0.99,0.34,0.09,0.79,0.44,0.81,0.61,0.18,0.5125,0.03,0.56,0.18,0.83,0.55,0.9,0.02,0.31,0.87,0.61,0.18,0.47,0.51,0.8,0.45,0.6,1.0,0.95,0.08,0.99,0.25,0.17,0.03,0.07,0.43,0.8,0.86,0.98,0.15,0.3,0.16,0.65,128.0
49, Offline Marketing Manager - (Remote),0.0,a,U50,0.0,0.27,0.9,0.94,0.11,0.8,0.55,0.06,0.19,0.4,0.13,0.31,0.81,0.96,0.36,0.59,0.91,0.89,0.81,0.27,0.84,1.0,0.54,0.27,0.4375,0.52,0.95,0.89,0.22,0.28,0.48,0.78,0.16,0.9,0.4,0.87,0.14,0.59,0.26,0.02,0.49,0.06,0.19,0.92,0.5042857142857142,0.78,0.46,0.74,0.11,0.02,0.51,0.37,0.65,0.73,0.13,0.71,0.07,20.0
50,Junior Brand Manager - (Remote) m/f/d,59000.0,b,U51,1.0,0.27,0.42,0.69,0.41,0.71,0.28,0.34,0.14,0.06,0.81,0.0,0.1,0.11,0.18,0.83,0.16,0.7,0.27,0.63,0.52,0.77,0.41,0.09,0.955,0.83,0.57,0.94,0.88,0.3,0.36,0.41,0.26,0.94,0.19,0.19,0.65,0.62,0.53,0.6,0.64,0.14,0.02,0.86,0.3,0.89,0.42,0.31,0.04,0.81,0.32,1.0,0.43,0.76,0.58,0.29,0.57,43.0
